Title,Company,Location,Stipend,Skills
Not found,Not found,Not found,Not disclosed,Not listed
Digital Merchandiser Intern,Decathlon,Bangalore,Competitive stipend,"Adobe Photoshop, Adobe Illustrator, E-commerce, Data Analytics, Data Interpretation, Merchandising, Canva"
Data Analytics,Aakar Innovations Private Limited,Navi Mumbai,"₹ 25,000 - 35,000 /month","Python, SQL, Data Analytics, Data Science, REST API, Power BI, Shopify"
Business Analytics,Fabapps Lab Pvt Ltd,Silvassa,"₹ 15,000 - 25,000 /month","MS-Office, Project Management, Software Testing, Data Analytics, MS-Excel, Report Writing, Client Relationship"
Video Data Annotator,Indika AI Private Limited,Work from home,"₹ 8,000 - 15,000 /month","Attention to Detail, Time Management, Data Analytics, Technical Analysis, Artificial intelligence, Machine Learning Operations (MLOps), Self-learning"
E-Commerce Operations,Aranqa,Mumbai,"₹ 12,000 - 16,000 /month","Digital Marketing, Data Analytics, Search Engine Optimization (SEO), Shopify"
Finance & Accounting,IndiShreshtha Private Limited,"Navi Mumbai, Mumbai","₹ 10,000 /month","Creativity, Digital Marketing, Attention to Detail, Accounting, Data Analytics, Tally, MS-Excel"
Machine Learning,Infits,Work from home,"₹ 5,000 - 6,000 /month","Python, Data Analytics, Machine Learning, Problem Solving, Computer Vision, Amazon Web Services (AWS), Natural Language Processing (NLP)"
Data Science,Symonis,Work from home,"₹ 15,000 - 25,000 /month","Python, SQL, Data Analytics, Machine Learning, Data Science, Natural Language Processing (NLP), Deep Learning"
Business Analytics,Symonis,Work from home,"₹ 15,000 - 25,000 /month","MS-Office, Python, SQL, Data Analytics, MS-Excel, English Proficiency (Spoken), English Proficiency (Written)"
Machine Learning,Innovexis,Work from home,"₹ 15,000 - 25,000 /month","Python, Data Analytics, Machine Learning, R Programming, Data Science, Natural Language Processing (NLP), Deep Learning"
Not found,Not found,Not found,Not disclosed,Not listed
Data Analytics,Innovexis,Work from home,"₹ 15,000 - 25,000 /month","Python, SQL, Data Analytics, MS-Excel, Data Science, Power BI"
Financial Data Analytics,Icecreamlabs,Bangalore,"₹ 12,000 - 18,000 /month","MS-Office, SQL, Data Analytics, MS-Excel, English Proficiency (Spoken), English Proficiency (Written), Research and Analytics"
Machine Learning,CPC Analytics,Pune,"₹ 15,000 /month","Python, Data Analytics, Machine Learning, React, Database Management System (DBMS), APIs, Debugging"
Data Analytics,DeepThought CultureTech Ventures Private Limited,Work from home,"₹ 2,000 /month",Data Analytics
Data Analytics,APEX ENGINEERING,Work from home,"₹ 30,000 /month","Java, Python, SQL, Data Analytics, MS-Excel, Data Science, Data Interpretation"
Data Analyst,APEX ENGINEERING,Work from home,"₹ 30,000 /month","MySQL, Python, SQL, Data Analytics, MS-Excel, Statistics, Data Interpretation"
Business Analytics,"Clue Compass LLC (Dubai, United Arab Emirates)",Work from home,"₹ 10,000 - 10,001 /month","MS-PowerPoint, Data Analytics, MS-Excel, English Proficiency (Spoken), English Proficiency (Written), ChatGPT"
